Time,Amplitude
0.00950113,-0.0612095
0.00952381,-0.0660071
0.00954649,-0.0705574
0.00956916,-0.0748414
0.00959184,-0.0788406
0.00961451,-0.0825374
0.00963719,-0.0859144
0.00965986,-0.0889552
0.00968254,-0.091644
0.00970522,-0.0939656
0.00972789,-0.0959057
0.00975057,-0.0974509
0.00977324,-0.0985883
0.00979592,-0.0993062
0.00981859,-0.0995935
0.00984127,-0.0994401
0.00986395,-0.098837
0.00988662,-0.0977758
0.0099093,-0.0962495
0.00993197,-0.0942518
0.00995465,-0.0917773
0.00997732,-0.0888221
0.01,-0.0853829
0.0100227,-0.0814575
0.0100454,-0.0770451
0.010068,-0.0721454
0.0100907,-0.0667597
0.0101134,-0.0608901
0.0101361,-0.05454
0.0101587,-0.0477136
0.0101814,-0.0404163
0.0102041,-0.0326547
0.0102268,-0.0244362
0.0102494,-0.0157696
0.0102721,-0.00666442
0.0102948,0.00286851
0.0103175,0.0128175
0.0103401,0.0231698
0.0103628,0.0339116
0.0103855,0.0450281
0.0104082,0.0565038
0.0104308,0.0683219
0.0104535,0.080465
0.0104762,0.0929146
0.0104989,0.105651
0.0105215,0.118655
0.0105442,0.131906
0.0105669,0.14538
0.0105896,0.159057
0.0106122,0.172913
0.0106349,0.186924
0.0106576,0.201067
0.0106803,0.215315
0.0107029,0.229644
0.0107256,0.244027
0.0107483,0.258439
0.010771,0.272852
0.0107937,0.287238
0.0108163,0.301572
0.010839,0.315824
0.0108617,0.329967
0.0108844,0.343972
0.010907,0.357811
0.0109297,0.371456
0.0109524,0.384879
0.0109751,0.39805
0.0109977,0.410942
0.0110204,0.423526
0.0110431,0.435775
0.0110658,0.447659
0.0110884,0.459153
0.0111111,0.470228
0.0111338,0.480858
0.0111565,0.491016
0.0111791,0.500676
0.0112018,0.509813
0.0112245,0.518403
0.0112472,0.526419
0.0112698,0.53384
0.0112925,0.540641
0.0113152,0.546802
0.0113379,0.5523
0.0113605,0.557115
0.0113832,0.561228
0.0114059,0.56462
0.0114286,0.567272
0.0114512,0.569169
0.0114739,0.570294
0.0114966,0.570633
0.0115193,0.570172
0.011542,0.5689
0.0115646,0.566804
0.0115873,0.563875
0.01161,0.560104
0.0116327,0.555484
0.0116553,0.550008
0.011678,0.543671
0.0117007,0.53647
0.0117234,0.528402
0.011746,0.519466
0.0117687,0.509664
0.0117914,0.498996
0.0118141,0.487465
0.0118367,0.475078
0.0118594,0.461838
0.0118821,0.447755
0.0119048,0.432835
0.0119274,0.417091
0.0119501,0.400533
0.0119728,0.383174
0.0119955,0.365028
0.0120181,0.346112
0.0120408,0.326442
0.0120635,0.306037
0.0120862,0.284916
0.0121088,0.263101
0.0121315,0.240614
0.0121542,0.217478
0.0121769,0.193719
0.0121995,0.169362
0.0122222,0.144435
0.0122449,0.118965
0.0122676,0.0929832
0.0122902,0.0665194
0.0123129,0.039605
0.0123356,0.012273
0.0123583,-0.0154434
0.012381,-0.0435094
0.0124036,-0.0718899
0.0124263,-0.100549
0.012449,-0.129449
0.0124717,-0.158552
0.0124943,-0.187821
0.012517,-0.217217
0.0125397,-0.246699
0.0125624,-0.276227
0.012585,-0.305762
0.0126077,-0.335263
0.0126304,-0.364687
0.0126531,-0.393994
0.0126757,-0.423141
0.0126984,-0.452087
0.0127211,-0.480791
0.0127438,-0.509208
0.0127664,-0.537299
0.0127891,-0.56502
0.0128118,-0.592329
0.0128345,-0.619186
0.0128571,-0.645549
0.0128798,-0.671376
0.0129025,-0.696627
0.0129252,-0.721263
0.0129478,-0.745242
0.0129705,-0.768527
0.0129932,-0.791079
0.0130159,-0.812859
0.0130385,-0.833832
0.0130612,-0.85396
0.0130839,-0.873209
0.0131066,-0.891544
0.0131293,-0.908933
0.0131519,-0.925341
0.0131746,-0.94074
0.0131973,-0.955097
0.01322,-0.968385
0.0132426,-0.980576
0.0132653,-0.991644
0.013288,-1.00156
0.0133107,-1.01031
0.0133333,-1.01787
0.013356,-1.02421
0.0133787,-1.02931
0.0134014,-1.03317
0.013424,-1.03576
0.0134467,-1.03706
0.0134694,-1.03708
0.0134921,-1.03578
0.0135147,-1.03318
0.0135374,-1.02925
0.0135601,-1.024
0.0135828,-1.01741
0.0136054,-1.00949
0.0136281,-1.00024
0.0136508,-0.989655
0.0136735,-0.977741
0.0136961,-0.964503
0.0137188,-0.949948
0.0137415,-0.934085
0.0137642,-0.916924
0.0137868,-0.898479
0.0138095,-0.878763
0.0138322,-0.857792
0.0138549,-0.835585
0.0138776,-0.812161
0.0139002,-0.787543
0.0139229,-0.761752
0.0139456,-0.734814
0.0139683,-0.706757
0.0139909,-0.677608
0.0140136,-0.647397
0.0140363,-0.616157
0.014059,-0.583921
0.0140816,-0.550723
0.0141043,-0.5166
0.014127,-0.481589
0.0141497,-0.445731
0.0141723,-0.409066
0.014195,-0.371635
0.0142177,-0.333483
0.0142404,-0.294653
0.014263,-0.255192
0.0142857,-0.215146
0.0143084,-0.174563
0.0143311,-0.133492
0.0143537,-0.0919826
0.0143764,-0.050086
0.0143991,-0.00785356
0.0144218,0.0346626
0.0144444,0.0774095
0.0144671,0.120333
0.0144898,0.163381
0.0145125,0.206496
0.0145351,0.249625
0.0145578,0.292713
0.0145805,0.335703
0.0146032,0.37854
0.0146259,0.421168
0.0146485,0.463532
0.0146712,0.505575
0.0146939,0.547243
0.0147166,0.588479
0.0147392,0.629228
0.0147619,0.669436
0.0147846,0.709049
0.0148073,0.748011
0.0148299,0.786271
0.0148526,0.823775
0.0148753,0.860472
0.014898,0.89631
0.0149206,0.93124
0.0149433,0.965211
0.014966,0.998177
0.0149887,1.03009
0.0150113,1.0609
0.015034,1.09057
0.0150567,1.11905
0.0150794,1.1463
0.015102,1.17228
0.0151247,1.19695
0.0151474,1.22028
0.0151701,1.24222
0.0151927,1.26274
0.0152154,1.28181
0.0152381,1.2994
0.0152608,1.31548
0.0152834,1.33002
0.0153061,1.343
0.0153288,1.35439
0.0153515,1.36417
0.0153741,1.37232
0.0153968,1.37883
0.0154195,1.38367
0.0154422,1.38684
0.0154649,1.38833
0.0154875,1.38812
0.0155102,1.3862
0.0155329,1.38258
0.0155556,1.37726
0.0155782,1.37022
0.0156009,1.36147
0.0156236,1.35102
0.0156463,1.33888
0.0156689,1.32504
0.0156916,1.30953
0.0157143,1.29235
0.015737,1.27353
0.0157596,1.25307
0.0157823,1.23099
0.015805,1.20733
0.0158277,1.1821
0.0158503,1.15533
0.015873,1.12705
0.0158957,1.09728
0.0159184,1.06607
0.015941,1.03343
0.0159637,0.99942
0.0159864,0.964065
0.0160091,0.927406
0.0160317,0.889487
0.0160544,0.85035
0.0160771,0.81004
0.0160998,0.768605
0.0161224,0.726092
0.0161451,0.682552
0.0161678,0.638036
0.0161905,0.592597
0.0162132,0.546288
0.0162358,0.499166
0.0162585,0.451286
0.0162812,0.402707
0.0163039,0.353488
0.0163265,0.303687
0.0163492,0.253367
0.0163719,0.202588
0.0163946,0.151413
0.0164172,0.0999048
0.0164399,0.048127
0.0164626,-0.00385625
0.0164853,-0.0559804
0.0165079,-0.108181
0.0165306,-0.160392
0.0165533,-0.212549
0.016576,-0.264586
0.0165986,-0.316437
0.0166213,-0.368038
0.016644,-0.419324
0.0166667,-0.470228
0.0166893,-0.520688
0.016712,-0.570637
0.0167347,-0.620014
0.0167574,-0.668754
0.01678,-0.716796
0.0168027,-0.764077
0.0168254,-0.810538
0.0168481,-0.856117
0.0168707,-0.900757
0.0168934,-0.944399
0.0169161,-0.986987
0.0169388,-1.02847
0.0169615,-1.06878
0.0169841,-1.10788
0.0170068,-1.14571
0.0170295,-1.18222
0.0170522,-1.21737
0.0170748,-1.2511
0.0170975,-1.28338
0.0171202,-1.31416
0.0171429,-1.3434
0.0171655,-1.37105
0.0171882,-1.39709
0.0172109,-1.42148
0.0172336,-1.44418
0.0172562,-1.46517
0.0172789,-1.4844
0.0173016,-1.50187
0.0173243,-1.51753
0.0173469,-1.53138
0.0173696,-1.54339
0.0173923,-1.55354
0.017415,-1.56182
0.0174376,-1.56821
0.0174603,-1.5727
0.017483,-1.57529
0.0175057,-1.57597
0.0175283,-1.57474
0.017551,-1.57159
0.0175737,-1.56652
0.0175964,-1.55955
0.017619,-1.55068
0.0176417,-1.53991
0.0176644,-1.52725
0.0176871,-1.51273
0.0177098,-1.49636
0.0177324,-1.47815
0.0177551,-1.45812
0.0177778,-1.43631
0.0178005,-1.41273
0.0178231,-1.38741
0.0178458,-1.36038
0.0178685,-1.33168
0.0178912,-1.30134
0.0179138,-1.26939
0.0179365,-1.23588
0.0179592,-1.20084
0.0179819,-1.16431
0.0180045,-1.12635
0.0180272,-1.08699
0.0180499,-1.04629
0.0180726,-1.0043
0.0180952,-0.961058
0.0181179,-0.916628
0.0181406,-0.871062
0.0181633,-0.824417
0.0181859,-0.776749
0.0182086,-0.728118
0.0182313,-0.678584
0.018254,-0.628207
0.0182766,-0.57705
0.0182993,-0.525177
0.018322,-0.472652
0.0183447,-0.41954
0.0183673,-0.365907
0.01839,-0.311819
0.0184127,-0.257344
0.0184354,-0.202548
0.018458,-0.147501
0.0184807,-0.0922712
0.0185034,-0.0369263
0.0185261,0.0184644
0.0185488,0.0738323
0.0185714,0.129108
0.0185941,0.184224
0.0186168,0.239111
0.0186395,0.2937
0.0186621,0.347925
0.0186848,0.401717
0.0187075,0.45501
0.0187302,0.507738
0.0187528,0.559836
0.0187755,0.611238
0.0187982,0.661882
0.0188209,0.711704
0.0188435,0.760643
0.0188662,0.808639
0.0188889,0.855631
0.0189116,0.901563
0.0189342,0.946378
0.0189569,0.99002
0.0189796,1.03244
0.0190023,1.07357
0.0190249,1.11338
0.0190476,1.15182
0.0190703,1.18882
0.019093,1.22436
0.0191156,1.25839
0.0191383,1.29087
0.019161,1.32175
0.0191837,1.351
0.0192063,1.37859
0.019229,1.40448
0.0192517,1.42864
0.0192744,1.45105
0.0192971,1.47167
0.0193197,1.49049
0.0193424,1.50748
0.0193651,1.52262
0.0193878,1.5359
0.0194104,1.5473
0.0194331,1.5568
0.0194558,1.56441
0.0194785,1.57011
0.0195011,1.5739
0.0195238,1.57577
0.0195465,1.57573
0.0195692,1.57378
0.0195918,1.56992
0.0196145,1.56416
0.0196372,1.55651
0.0196599,1.54698
0.0196825,1.53559
0.0197052,1.52235
0.0197279,1.50729
0.0197506,1.49042
0.0197732,1.47177
0.0197959,1.45137
0.0198186,1.42924
0.0198413,1.40541
0.0198639,1.37991
0.0198866,1.35279
0.0199093,1.32408
0.019932,1.29381
0.0199546,1.26203
0.0199773,1.22877
0.02,1.19409
0.0200227,1.15803
0.0200454,1.12063
0.020068,1.08195
0.0200907,1.04203
0.0201134,1.00094
0.0201361,0.958715
0.0201587,0.915418
0.0201814,0.871105
0.0202041,0.825832
0.0202268,0.779658
0.0202494,0.732644
0.0202721,0.684849
0.0202948,0.636334
0.0203175,0.587163
0.0203401,0.537397
0.0203628,0.487101
0.0203855,0.436337
0.0204082,0.385172
0.0204308,0.333669
0.0204535,0.281893
0.0204762,0.229911
0.0204989,0.177787
0.0205215,0.125586
0.0205442,0.0733753
0.0205669,0.0212185
0.0205896,-0.0308189
0.0206122,-0.0826724
0.0206349,-0.134278
0.0206576,-0.185571
0.0206803,-0.236488
0.0207029,-0.286969
0.0207256,-0.336949
0.0207483,-0.386369
0.020771,-0.435168
0.0207937,-0.483287
0.0208163,-0.530668
0.020839,-0.577254
0.0208617,-0.62299
0.0208844,-0.667819
0.020907,-0.711691
0.0209297,-0.754551
0.0209524,-0.796351
0.0209751,-0.837041
0.0209977,-0.876574
0.0210204,-0.914904
0.0210431,-0.951988
0.0210658,-0.987782
0.0210884,-1.02225
0.0211111,-1.05534
0.0211338,-1.08704
0.0211565,-1.11729
0.0211791,-1.14607
0.0212018,-1.17335
0.0212245,-1.1991
0.0212472,-1.22328
0.0212698,-1.24589
0.0212925,-1.26689
0.0213152,-1.28626
0.0213379,-1.30399
0.0213605,-1.32006
0.0213832,-1.33445
0.0214059,-1.34716
0.0214286,-1.35818
0.0214512,-1.36749
0.0214739,-1.3751
0.0214966,-1.381
0.0215193,-1.38519
0.021542,-1.38767
0.0215646,-1.38845
0.0215873,-1.38752
0.02161,-1.38492
0.0216327,-1.38063
0.0216553,-1.37467
0.021678,-1.36707
0.0217007,-1.35783
0.0217234,-1.34697
0.021746,-1.33452
0.0217687,-1.3205
0.0217914,-1.30493
0.0218141,-1.28784
0.0218367,-1.26926
0.0218594,-1.24922
0.0218821,-1.22775
0.0219048,-1.20488
0.0219274,-1.18065
0.0219501,-1.1551
0.0219728,-1.12827
0.0219955,-1.1002
0.0220181,-1.07092
0.0220408,-1.04048
0.0220635,-1.00893
0.0220862,-0.976314
0.0221088,-0.942672
0.0221315,-0.908057
0.0221542,-0.872516
0.0221769,-0.8361
0.0221995,-0.798859
0.0222222,-0.760845
0.0222449,-0.722111
0.0222676,-0.682709
0.0222902,-0.642694
0.0223129,-0.602119
0.0223356,-0.561039
0.0223583,-0.519509
0.022381,-0.477585
0.0224036,-0.435322
0.0224263,-0.392775
0.022449,-0.350002
0.0224717,-0.307056
0.0224943,-0.263995
0.022517,-0.220874
0.0225397,-0.177747
0.0225624,-0.134671
0.022585,-0.0917005
0.0226077,-0.0488886
0.0226304,-0.00628963
0.0226531,0.0360433
0.0226757,0.0780576
0.0226984,0.119702
0.0227211,0.160924
0.0227438,0.201675
0.0227664,0.241906
0.0227891,0.281567
0.0228118,0.320613
0.0228345,0.358996
0.0228571,0.396672
0.0228798,0.433597
0.0229025,0.469729
0.0229252,0.505026
0.0229478,0.539449
0.0229705,0.57296
0.0229932,0.605521
0.0230159,0.637097
0.0230385,0.667654
0.0230612,0.69716
0.0230839,0.725585
0.0231066,0.752899
0.0231293,0.779075
0.0231519,0.804087
0.0231746,0.827911
0.0231973,0.850526
0.02322,0.871911
0.0232426,0.892047
0.0232653,0.910918
0.023288,0.928508
0.0233107,0.944805
0.0233333,0.959797
0.023356,0.973475
0.0233787,0.985831
0.0234014,0.99686
0.023424,1.00656
0.0234467,1.01492
0.0234694,1.02195
0.0234921,1.02765
0.0235147,1.03202
0.0235374,1.03506
0.0235601,1.03679
0.0235828,1.03721
0.0236054,1.03633
0.0236281,1.03417
0.0236508,1.03074
0.0236735,1.02605
0.0236961,1.02012
0.0237188,1.01296
0.0237415,1.00461
0.0237642,0.99508
0.0237868,0.984392
0.0238095,0.972572
0.0238322,0.959647
0.0238549,0.945642
0.0238776,0.930588
0.0239002,0.914513
0.0239229,0.897447
0.0239456,0.879424
0.0239683,0.860476
0.0239909,0.840637
0.0240136,0.819942
0.0240363,0.798426
0.024059,0.776128
0.0240816,0.753083
0.0241043,0.729331
0.024127,0.70491
0.0241497,0.679859
0.0241723,0.654219
0.024195,0.62803
0.0242177,0.601334
0.0242404,0.574171
0.024263,0.546582
0.0242857,0.51861
0.0243084,0.490297
0.0243311,0.461684
0.0243537,0.432814
0.0243764,0.403729
0.0243991,0.374471
0.0244218,0.345081
0.0244444,0.315602
0.0244671,0.286074
0.0244898,0.256538
0.0245125,0.227036
0.0245351,0.197608
0.0245578,0.168292
0.0245805,0.139129
0.0246032,0.110157
0.0246259,0.0814137
0.0246485,0.0529364
0.0246712,0.0247616
0.0246939,-0.00307522
0.0247166,-0.0305391
0.0247392,-0.0575964
0.0247619,-0.084214
0.0247846,-0.11036
0.0248073,-0.136004
0.0248299,-0.161115
0.0248526,-0.185665
0.0248753,-0.209627
0.024898,-0.232973
0.0249206,-0.255679
0.0249433,-0.277721
0.024966,-0.299075
0.0249887,-0.319721
0.0250113,-0.339638
0.025034,-0.358807
0.0250567,-0.377212
0.0250794,-0.394834
0.025102,-0.411661
0.0251247,-0.427678
0.0251474,-0.442874
0.0251701,-0.457237
0.0251927,-0.470759
0.0252154,-0.483431
0.0252381,-0.495248
0.0252608,-0.506204
0.0252834,-0.516295
0.0253061,-0.52552
0.0253288,-0.533877
0.0253515,-0.541367
0.0253741,-0.547991
0.0253968,-0.553754
0.0254195,-0.558659
0.0254422,-0.562712
0.0254649,-0.565921
0.0254875,-0.568293
0.0255102,-0.569839
0.0255329,-0.570569
0.0255556,-0.570495
0.0255782,-0.56963
0.0256009,-0.567989
0.0256236,-0.565587
0.0256463,-0.56244
0.0256689,-0.558565
0.0256916,-0.553982
0.0257143,-0.548709
0.025737,-0.542767
0.0257596,-0.536177
0.0257823,-0.52896
0.025805,-0.521139
0.0258277,-0.512739
0.0258503,-0.503781
0.025873,-0.494293
0.0258957,-0.484298
0.0259184,-0.473822
0.025941,-0.462893
0.0259637,-0.451536
0.0259864,-0.439778
0.0260091,-0.427648
0.0260317,-0.415172
0.0260544,-0.40238
0.0260771,-0.389299
0.0260998,-0.375957
0.0261224,-0.362383
0.0261451,-0.348605
0.0261678,-0.334652
0.0261905,-0.320552
0.0262132,-0.306333
0.0262358,-0.292023
0.0262585,-0.277651
0.0262812,-0.263244
0.0263039,-0.248829
0.0263265,-0.234434
0.0263492,-0.220084
0.0263719,-0.205806
0.0263946,-0.191625
0.0264172,-0.177567
0.0264399,-0.163657
0.0264626,-0.149918
0.0264853,-0.136373
0.0265079,-0.123046
0.0265306,-0.109957
0.0265533,-0.0971292
0.026576,-0.0845818
0.0265986,-0.0723344
0.0266213,-0.060406
0.026644,-0.0488142
0.0266667,-0.0375762
0.0266893,-0.0267078
0.026712,-0.0162241
0.0267347,-0.00613918
0.0267574,0.00353379
0.02678,0.0127827
0.0268027,0.0215967
0.0268254,0.0299655
0.0268481,0.0378804
0.0268707,0.0453332
0.0268934,0.0523172
0.0269161,0.0588266
0.0269388,0.0648568
0.0269615,0.0704041
0.0269841,0.0754659
0.0270068,0.0800408
0.0270295,0.0841285
0.0270522,0.0877296
0.0270748,0.0908459
0.0270975,0.0934802
0.0271202,0.0956363
0.0271429,0.097319
0.0271655,0.0985345
0.0271882,0.0992895
0.0272109,0.0995918
0.0272336,0.0994503
0.0272562,0.0988748
0.0272789,0.097876
0.0273016,0.0964653
0.0273243,0.0946554
0.0273469,0.0924593
0.0273696,0.0898913
